slettestruts
somalistruts
stornandu
fjellnandu
sørbrunkivi
nordbrunkivi
okaritokivi
dvergkivi
flekkivi
toflikkasuar
dvergkasuar
enflikkasuar
emu
taotinamu
eremittinamu
svarttinamu
stortinamu
perletinamu
bambustinamu
brunbrysttinamu
blyhettetinamu
sottinamu
gråtinamu
småtinamu
tepuitinamu
bruntinamu
amazontinamu
hvitbryntinamu
brasiltinamu
gråbeintinamu
rødbeintinamu
gulbeintinamu
svarthettetinamu
krattinamu
gråbrysttinamu
chocotinamu
rusthalstinamu
jungeltinamu
skogtinamu
kortnebbtinamu
stripetinamu
tataupatinamu
rødvingetinamu
flekkhalstinamu
perutinamu
fjelltinamu
chiletinamu
busktinamu
andestinamu
krumnebbtinamu
hvitøyetinamu
dvergtinamu
darwintinamu
flekktinamu
pygmétinamu
sørtopptinamu
nordtopptinamu
punatinamu
patagoniatinamu
horngjeterfugl
svarthalsgjeterfugl
kragegjeterfugl
skjæregås
maskeplystreand
rødnebbplystreand
perleplystreand
palmeplystreand
brunplystreand
prydplystreand
hetteplystreand
småplystreand
hvitryggand
hønsegås
ringgås
rødhalsgås
hawaiigås
kanadagås
hvitkinngås
polargås
stripegås
keisergås
eskimogås
snøgås
grågås
svanegås
taigasædgås
kortnebbgås
tundrasædgås
tundragås
dverggås
coscorobasvane
svartsvane
svarthalssvane
knoppsvane
trompetsvane
dvergsvane
sangsvane
fregneand
kaskadeand
patagoniaskovleand
chileskovleand
falklandsskovleand
hvithodeskovleand
strømand
sporegås
kjølnebband
kamand
blåvingegås
niland
mauritiusand
reunionand
amazongås
andesgås
sebragås
taregås
gråhodegås
brunhodegås
beltegravand
gravand
rustand
kapprustand
praktrustand
maorirustand
koreagravand
leppeand
tigerand
knoppand
jungeland
mahogniand
brudeand
mandarinand
mankeand
praktdvergand
beltedvergand
grønndvergand
brasiland
prydand
duskand
bronsevingeand
gulkinnand
knekkand
sumpand
punaand
sølvand
prikkskjeand
kaneland
blåvingeand
kappskjeand
sigdskjeand
skjeand
snadderand
sibirand
brunnakke
sørblesand
amerikablesand
amsterdamblesand
elveand
gulnebband
madagaskarand
stripeand
laysanand
hawaiiand
filippinerand
flekknebband
kinaand
stokkand
golfand
rødfotand
mexicoand
kappand
hvitkinnand
rødnebband
spisshaleand
kerguelenand
stjertand
krikkand
amerikakrikkand
gulnebbkrikkand
andeskrikkand
gråkrikkand
hvitstrupekrikkand
maskareneand
nomadeand
kastanjeand
gasserkrikkand
kobberand
bronseand
campbelland
marmorand
rosenhodeand
rødhodeand
peposacaand
fløyelsand
kanvasand
kobberhodeand
taffeland
australdykkand
alaotraand
amurand
hvitøyeand
maoridykkand
ringand
toppand
bergand
purpurhodeand
stellerand
labradorand
brilleærfugl
praktærfugl
ærfugl
harlekinand
brilleand
sjøorre
amerikasjøorre
sibirsjøorre
svartand
amerikasvartand
havelle
bøffeland
kvinand
islandsand
lappfiskand
hjelmfiskand
aucklandfiskand
brasilfiskand
laksand
siland
skjellfiskand
gjøkand
maskeand
stivhaleand
andesand
trommeand
blånebband
kaffeand
hvithodeand
pungand
klaveovnhøne
hvitstrupeovnhøne
treflikovnhøne
rødnebbovnhøne
svartovnhøne
rødbeinovnhøne
malleeovnhøne
hammerovnhøne
molukkovnhøne
tongaovnhøne
dvergovnhøne
nikobarovnhøne
mjaueovnhøne
sulaovnhøne
tanimbarovnhøne
sotovnhøne
biakovnhøne
melanesiaovnhøne
vanuatuovnhøne
papuaovnhøne
oransjebeinovnhøne
kratthokko
gråhodehokko
kastanjevingehokko
llanoshokko
rusthodehokko
sinaloahokko
guerrerohokko
chacohokko
hvitbukhokko
buskhokko
bahiahokko
skjellhokko
colombiahokko
guyanahokko
kastanjehodehokko
blekbrynhokko
sølvørehokko
skjegghokko
mørkhodehokko
andeshokko
marailhokko
brasilhokko
rødbrillehokko
parykkhokko
caucahokko
hvitvingehokko
jungelhokko
sothokko
yungashokko
rustnakkehokko
sumphokko
hvitbrynhokko
trinidadhokko
blåstrupehokko
hvitstrupehokko
rødstrupehokko
svartpannehokko
gulflikhokko
svarthokko
blåmaskehokko
smekkehokko
hornhokko
brunhokko
elvehokko
loretohokko
kamnebbhokko
alagoashokko
nordhjelmhokko
sørhjelmhokko
sirahokko
storhokko
blåknopphokko
gulknopphokko
trollhokko
rødknopphokko
krøllhokko
krushokko
hvitbrystperlehøne
svartperlehøne
hjelmperlehøne
bustperlehøne
blåhodeperlehøne
rødmaskeperlehøne
blåmaskeperlehøne
gribbperlehøne
klatrehøne
iturihøne
hvitstrupeskogvaktel
svartstrupeskogvaktel
gråstrupeskogvaktel
spirvaktel
skjellvaktel
sinaloavaktel
kaliforniavaktel
svartbukvaktel
båndvaktel
nordkrattvaktel
mayakrattvaktel
costaricakrattvaktel
sørkrattvaktel
bruntannvaktel
gråtannvaktel
svartkinntannvaktel
rustpannetannvaktel
masketannvaktel
kastanjetannvaktel
mørkryggtannvaktel
rustbrysttannvaktel
tacarcunatannvaktel
kragetannvaktel
venezuelatannvaktel
